cas,teplota_aht,vlhkost_aht,teplota_bmp,tlak,nadm_vyska
2026-01-09 12:16:46,19.8,40.7,20.0,959.6,1000.4,349.9
2026-01-09 12:16:51,19.8,40.7,20.0,959.5,1000.3,349.9
2026-01-09 12:16:56,19.8,40.8,20.0,959.5,1000.3,349.9
2026-01-09 12:17:02,19.8,41.0,20.0,959.5,1000.3,349.9
2026-01-09 12:17:07,19.8,41.1,20.0,959.5,1000.3,349.9
2026-01-09 12:17:12,19.8,41.0,20.0,959.5,1000.3,349.9
2026-01-09 12:17:17,19.8,41.0,20.0,959.4,1000.2,349.9
2026-01-09 12:17:22,19.9,41.0,20.0,959.5,1000.3,349.9
2026-01-09 12:17:28,19.9,41.0,20.0,959.5,1000.3,349.9
2026-01-09 12:17:33,19.9,41.0,20.0,959.5,1000.3,349.9
2026-01-09 12:17:38,19.8,41.0,20.1,959.5,1000.3,349.9
2026-01-09 12:17:43,19.8,40.9,20.0,959.6,1000.4,349.9
2026-01-09 12:17:48,19.9,40.9,20.0,959.6,1000.4,349.9
2026-01-09 12:17:53,19.8,40.9,20.0,959.5,1000.3,349.9
2026-01-09 12:17:59,19.9,40.9,20.0,959.6,1000.4,349.9
2026-01-09 12:18:04,19.8,40.9,20.0,959.6,1000.4,349.9
2026-01-09 12:18:09,19.8,40.9,20.0,959.6,1000.4,349.9
2026-01-09 12:18:15,19.8,40.8,20.0,959.6,1000.4,349.9
2026-01-09 12:18:20,19.9,40.8,20.0,959.6,1000.4,349.9
2026-01-09 12:18:25,19.9,40.7,20.0,959.6,1000.4,349.9
2026-01-09 12:18:30,19.9,40.7,20.0,959.5,1000.3,349.9
2026-01-09 12:18:35,19.8,40.7,20.0,959.5,1000.3,349.9
2026-01-09 12:18:41,19.9,40.6,20.0,959.5,1000.3,349.9
2026-01-09 12:18:46,19.8,40.4,20.0,959.5,1000.3,349.9
2026-01-09 12:18:51,19.8,40.3,20.0,959.5,1000.3,349.9
2026-01-09 12:18:56,19.8,40.4,20.0,959.4,1000.2,349.9
2026-01-09 12:19:01,19.8,40.3,20.0,959.5,1000.3,349.9
2026-01-09 12:19:06,19.9,40.3,20.0,959.5,1000.3,349.9
2026-01-09 12:19:12,19.8,40.4,20.0,959.6,1000.4,349.9
2026-01-09 12:19:17,19.8,40.4,20.0,959.5,1000.3,349.9
2026-01-09 12:19:22,19.9,40.3,20.0,959.5,1000.3,349.9
2026-01-09 12:19:27,19.9,40.3,20.0,959.5,1000.3,349.9
2026-01-09 12:19:32,19.9,40.4,20.1,959.5,1000.3,349.9
